id,سال میلادی,ماه میلادی عدد ,نام ماه میلادی,روز میلادی عدد ,نام روز میلادی ,سال قمری,ماه قمری عدد,نام ماه قمری,روز قمری,روز عربی ,سال شمسی,ماه شمسی,نام ماه شمسی,روز شمسی عدد,روز شمسی,تعطیل,مناسبت
144,2020,8,Aug,10,Monday,1441,12,ذیحجه,20,الأثنين,1399,5,مرداد,20,دوشنبه,, ولادت امام موسی کاظم (ع) (۱۲۸ هـ ق)
145,2020,8,Aug,11,Tuesday,1441,12,ذیحجه,21,الثلاثاء,1399,5,مرداد,21,سه شنبه,,روز حمایت از صنایع کوچک
146,2020,8,Aug,12,Wednesday,1441,12,ذیحجه,22,الأربعاء,1399,5,مرداد,22,چهار شنبه,,
147,2020,8,Aug,13,Thursday,1441,12,ذیحجه,23,الخميس,1399,5,مرداد,23,پنج شنبه,,روز مقاومت اسلامی - روز مباهله پیامبر اسلام (ص) (۱۰ هـ ق)
148,2020,8,Aug,14,Friday,1441,12,ذیحجه,24,الجمعه,1399,5,مرداد,24,جمعه,تعطیل,
149,2020,8,Aug,15,Saturday,1441,12,ذیحجه,25,السبت,1399,5,مرداد,25,شنبه,,
150,2020,8,Aug,16,Sunday,1441,12,ذیحجه,26,الأحد,1399,5,مرداد,26,یکشنبه,,آغاز بازگشت آزادگان به میهن اسلامی (۱۳۶۹ هـ ش)
151,2020,8,Aug,17,Monday,1441,12,ذیحجه,27,الأثنين,1399,5,مرداد,27,دوشنبه,,
152,2020,8,Aug,18,Tuesday,1441,12,ذیحجه,28,الثلاثاء,1399,5,مرداد,28,سه شنبه,,کودتای آمریکا برای بازگرداندن شاه (۱۳۳۲ هـ ش) - گشایش مجلس خبرگان برای بررسی نهایی قانون اساسی جمهوری اسلامی ایران (۱۳۵۸ هـ ش)
153,2020,8,Aug,19,Wednesday,1441,12,ذیحجه,29,الأربعاء,1399,5,مرداد,29,چهار شنبه,,
154,2020,8,Aug,20,Thursday,1441,12,ذیحجه,30,الخميس,1399,5,مرداد,30,پنج شنبه,,روز بزرگداشت علامه مجلسی - روز جهانی مسجد
155,2020,8,Aug,21,Friday,1442,1,محرم,1,الجمعه,1399,5,مرداد,31,جمعه,تعطیل,روز صنعت دفاعی - آغاز سال نو هجری قمری
156,2020,8,Aug,22,Saturday,1442,1,محرم,2,السبت,1399,6,شهریور,1,شنبه,,روز بزرگداشت ابوعلی سینا - روز پزشک
157,2020,8,Aug,23,Sunday,1442,1,محرم,3,الأحد,1399,6,شهریور,2,یکشنبه,,آغاز هفته دولت شهادت سید علی اندرزگو (۱۹ رمضان - ۱۳۵۷ هـ ش)
158,2020,8,Aug,24,Monday,1442,1,محرم,4,الأثنين,1399,6,شهریور,3,دوشنبه,,اشغال ایران به توسط متفقین و فرار رضاخان (۱۳۲۰ هـ ش)
159,2020,8,Aug,25,Tuesday,1442,1,محرم,5,الثلاثاء,1399,6,شهریور,4,سه شنبه,,روز کارمند
160,2020,8,Aug,26,Wednesday,1442,1,محرم,6,الأربعاء,1399,6,شهریور,5,چهار شنبه,,روز بزرگداشت محمدبن زکریای رازی - روز داروسازی - روز کشتی
161,2020,8,Aug,27,Thursday,1442,1,محرم,7,الخميس,1399,6,شهریور,6,پنج شنبه,,
162,2020,8,Aug,28,Friday,1442,1,محرم,8,الجمعه,1399,6,شهریور,7,جمعه,تعطیل,
